class_code,generation,group_number,group_master,on_offline,group_leave,leave_point,avg_point_m1,avg_point_m2,avg_point_m1m2,delta_m2_m1,avg_point_all,months_observed,group_size,age_sd,age_range,job_domain_cnt,major_cnt,has_leader
12,11,5,True,오프라인,False,해당없음,3.6,5.2,4.4,1.6,4.2,3.0,3,1.0,2.0,1,3,True
6,8,4,False,오프라인,False,해당없음,1.0,2.0,1.5,1.0,0.75,4.0,6,1.516575089,4.0,1,3,True
3,10,4,False,온라인,False,해당없음,1.0,1.0,1.0,0.0,0.25,4.0,4,1.290994449,3.0,1,4,True
4,9,5,False,오프라인,False,해당없음,1.2,2.0,1.6,0.8,1.475,4.0,5,0.894427191,2.0,1,5,True
4,11,8,False,오프라인,False,해당없음,4.2,4.0,4.1,-0.2,3.4,3.0,6,1.673320053,5.0,2,6,True
8,10,7,True,온라인,False,해당없음,1.2,1.2,1.2,0.0,1.133333333,3.0,5,3.847076812,10.0,1,5,True
6,10,4,False,온라인,False,해당없음,-0.5,-0.5,-0.5,0.0,-0.5,4.0,3,2.645751311,5.0,1,3,True
17,11,1,False,오프라인,False,해당없음,3.4,4.8,4.1,1.4,2.533333333,3.0,5,1.643167673,4.0,3,5,True
9,8,1,True,온라인,True,중간 휴회기간 이후,0.8,0.0,0.4,-0.8,0.2,4.0,5,2.588435821,7.0,1,4,True
3,10,14,False,온라인,False,해당없음,0.8,1.0,0.9,0.2,0.2,4.0,4,1.914854216,4.0,1,3,True
3,10,11,True,오프라인,False,해당없음,1.4,1.4,1.4,0.0,1.4,4.0,4,1.825741858,4.0,2,3,True
1,8,8,False,온라인,False,해당없음,1.166,1.46,1.313,0.294,0.994,4.0,6,1.366260102,4.0,1,3,True
4,9,6,True,오프라인,False,해당없음,1.4,1.1,1.25,-0.3,0.875,4.0,4,2.061552813,4.0,1,2,True
5,9,4,False,오프라인,False,해당없음,1.6,0.9,1.25,-0.7,0.7125,4.0,4,1.707825128,4.0,1,3,True
3,10,9,False,온라인,False,해당없음,1.6,1.4,1.5,-0.2,1.4,4.0,5,0.5477225575,1.0,1,5,True
6,11,2,False,오프라인,False,해당없음,3.4,4.8,4.1,1.4,2.533333333,3.0,6,1.861898673,5.0,2,6,True
3,10,10,False,온라인,False,해당없음,1.0,1.4,1.2,0.4,0.475,4.0,4,1.290994449,3.0,2,4,True
4,8,2,False,오프라인,False,해당없음,1.0,3.75,2.375,2.75,1.80825,4.0,6,1.643167673,4.0,1,3,True
9,8,1,False,해당없음,True,중간 휴회기간 이전,0.8,0.0,0.4,-0.8,0.2,4.0,5,2.588435821,7.0,1,4,True
2,8,5,False,온라인,False,해당없음,1.0,1.5,1.25,0.5,1.175,4.0,5,1.095445115,3.0,1,3,True
9,10,3,False,오프라인,False,해당없음,1.2,-0.5,0.35,-1.7,0.06666666667,3.0,5,2.081665999,4.0,1,3,True
2,11,7,True,온라인,False,해당없음,4.1,4.4,4.25,0.3,2.633333333,3.0,4,0.9574271078,2.0,1,4,True
